review_id,code,type,customer_id,product_id,product_title,star_rating,review_headline,review_date,review_body
RTRPYT4UUYL5,canf,Nonfiction,45157683,0671042556,Blackbird: A Childhood Lost and Found,5,Couldn't put it down.,2001-02-20,I loved Jennifers book.  I truly couldn't put it down.  (And I am really not a big reader)  The story stays with you even after you finish the book.  I highly recommend it.  I can't wait for the next one!
R1ZYAFBOTF9XA5,canf,Nonfiction,12612371,006073132X,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,5,I want more!,2005-08-16,"I received this book as a birthday present and I wasn't quite sure how I would take it.  After reading the first chapter I was intrigued and could not put the book down. Levitt's studies should be brought to the college, maybe high school level, as the topics generate substantial conversation pieces that can be used for more explanation and research.    Although I could tend to agree that I would have enjoyed learning more substance for each topic (chapter) of the book, it was early explained that there was no unifying or underlying theme to the book.  I have gained a lot from the book and hope to see more like it in the future. Great read!"
R2FTDG6NPQXZ54,ccfic,Fiction,40857245,0385321414,Nory Ryan's Song,5,Joey Cronin's Opinion For Mrs. Sanchez's Class,2002-02-11,Nory Ryan's Song is a great book! It is a true and sad story and filled me with excitement. I think it is a good way to learn what really happened during the Irish potatoe famine. The people really went through difficult times. We are lucky today that we have more food and money than the poor potatoe farmers during the famine. I think all kids should read this book when they get the chance.
R3P7BJB95VG71J,caref,Reference,52747418,0122268105,Encyclopedia of Dinosaurs,5,This definitely belongs on the shelf of any dino-lover.,1999-01-24,"When I first received this book for Christmas, I was shocked!  The book was the size and weight of a telephone book!  It's packed with skeletal drawings, cladograms, paintings... You name it, it's in the text."
R35E2Y8Y9YYYZB,canf,Nonfiction,52408920,0262024950,The Wind of the Hundred Days: How Washington Mismanaged Globalization,4,Short-term Capital  Flows Opposed,2002-08-26,"Okay, I would have given 5 stars , but I wrote a  rave review  for Professor Bhagwati's other collection of articles ( Stream of Windows). So I am holding back on this one. This collection is a collection of more recent essays. To a large extent he deals with much of the same issues as in Stream of Windows - are Free Trade Agreements ( what he calls Preferential Trade Agreements) really free trade? Is the  blue  and  green  protectionism based on solid arguments or incomplete analysis? etc The one new section is on Capital Controls. There is a series of articles , especially his famous/notorious Foreign Affairs article, where he argues that while trade in goods and services has gains that have been demonstrated, those in short-term capital haven't been so unambiguously demonstrated. Therefore he advises restraint about capital account convertibility to those who haven't done so already. His caution is based not just on the irrationalities of the 97 East Asia crisis , but also on careful analyses by several economists which show that speculators who bet against a country's fundamentals are not (necessarily) punished. They can actually change the fundamentals. Therefore short-term capital flow can have noxious effects not associated with trade in goods and services. Anyway, good collection, yes repetitive (as another reader says) like the Stream of Windows , but ultimately good reading about careful thoughts on globalization , as opposed to all this pop-literature floating around. Some intellectual discipline for a layman like me."
R1NZUXASKQOOXC,cafic,Fiction,49474042,1931561249,Dream of the Blue Room,5,exquisite storytelling...,2005-07-21,"Reviewed by Joanna Pearson for Small Spiral Notebook    Foreign travel is about learning to exist in a dreamy state of in-between-ness. Unknown and ungrounded, you wander through strange environs seeing strange faces, and yet the ever-resourceful mind manages to seize upon vague familiarities, constructing a hybrid place that has the eerie quality of a dreamscape. So we find our main character, Jenny, on a cruise ship in China in Michelle Richmond's debut novel Dream of a Blue Room. Tense and insomniac, Jenny has traveled here on a dual mission: to resolve her collapsing marriage one way or the other, and to scatter the ashes of her murdered childhood best friend. As in all good stories that unfold on a plane, train, bus, or ship (with a nod to the Hitchcockian principle), Jenny soon finds her task complicated by the pull she feels towards Graham, a fellow traveler she meets who has his own reasons for making this voyage.     Redmond excels in conjuring that state of heightened, dream-like awareness fueled by lack of sleep and periods of intense emotional stress. Her deft descriptions of the Chinese landscape and Yangtze serve as a context for Jenny's extended meditation on her own riverside childhood in Alabama and the history of her failing marriage. The two settings and time periods are ambitiously and successfully interwoven, much to Redmond's credit. She is as en point in her descriptions of Chinese river dolphins, funeral ceremonies, and elderly tea shop ladies as she is in her descriptions of tubing, Sunday School, and watermelons in Mobile. Much more than travel fiction, this is instead a story of growing up as an outsider in the South, revealed through contrast-like looking at the negatives of a series of photos in order to see what you couldn't have noticed otherwise. In this way, China triggers a reflection on Jenny's life back home, proof of the idea that one understands home the best when away from it. We realize very quickly that Jenny's relationship with the murdered Amanda Ruth was more than a mere friendship. Redmond beautifully describes the intimacy, both physical and emotional, between two girls during the pivotal period of late adolescence, as well as the grinding forces of Southern culture and religion that threatened this intimacy.     For the most part, Redmond's prose has a lovely lyricality. She is at her best when describing situations with clarity and simplicity-she has a keen sense of place, an eye for details like how the raindrops fall at a particular instant. Redmond is a sensual writer and on occasion, her writing can veer towards the overripe, particularly when describing erotic moments. There could have been fewer oversignified descriptions of sex, and the book would have been none the worse for it. Throughout most of the novel, however, Redmond's touch is far subtler, allowing a memory of a summer afternoon in a boathouse or a Chinese funeral procession to do no more symbolic load bearing than warranted.     As the cruise ship eases down the river, the reality of Jenny's ending marriage becomes apparent even as her relationship with newcomer Graham rapidly progresses. It is through this new, albeit short-lived relationship with Graham and the drastic act he requests of her that Jenny is ultimately able to exit her suspended state. With the slow build-up of a mystery, the exquisite pain of a coming-of-age novel, the masterful images of a travel writer, and a darkness that is true to the Southern Gothic, Dream of a Blue Room is a work of wonderfully chimeric form. And through this, a novelistic form that skillfully defies a single genre, Redmond, quite fittingly, tells the story of a woman finding her way out of the boundaries of singular categories, out of limbo, out of the in-between."
R1KVDW3U9FPBZ2,cafic,Fiction,52986379,0679741925,The Reivers,5,A Joy To Read,2000-08-23,"At long last, Faulkner gave us lucky readers a great comic novel.  Those  long difficult sentences are timed to deliver punch lines, and the  atmosphere is light and sunny rather than gloomy and dank.  This is not to  say that the novel is merely a diversion, though.  The final resolution is  deeply moving, and still most entertaining.   This is one of the books  that makes me glad I learned how to read."
R3A0VWJO0ZQS8N,canf,Nonfiction,48383561,0875847625,The Social Life of Information,4,A View of IT from a Social Context,2000-09-22,"I enjoyed reading this thoughtful book, which evaluates and analyzes the role of technology in a balanced social context.  I learned to appreciate a different perspective - a perspective where information technologies are placed in a balanced contextual relationship to social values, and to human needs and relationships.  Other books I have read survey technology from the standpoint of technological determinism, or as the book says, from the standpoint of the ""blinkered euphoria of the infoenthusiast.""  This book is a good reading and it seeds deeper discussion and thought. Since I work in the field of distance learning, I found Chapter 5, ""Learning - in Theory and in Practice,"" Chapter 6, ""Innovating Organization, Husbanding Knowledge,"" Chapter 7 - ""Reading the Background,"" and Chapter 8, ""Re-education,"" particularly interesting and relevant.  The authors identify three differences between information and knowledge:  1) knowledge usually entails a knower (the person who knows), 2) knowledge appears harder to detach (than information), and 3) knowledge requires assimilation.  So these days, with all the talk about hot distance education trends and increasing on-line and other technology-mediated educational programming, we need to remain mindful of the need for technology-mediated programming to empower folks to learn, i.e., acquire and assimilate knowledge. I also appreciated Brown and Duguid's insightful discussion regarding changes in higher education.  It is true that an opportunity exists to provide greater access to higher education through the expanding use of information technologies.  But, it is important to distinguish the current hype about distance learning from the reality of what really is currently available and accessible.  The authors also draw distinctions between social distance and geographical distance and the dangers of polarization.  I also agree that the goal should be access to higher education."
R3P52MARS4S4TJ,canf,Nonfiction,52119968,0399151001,Maverick Mind,2,tedious,2005-01-14,"Although this was an interesting book, the author does not explain how this new ""syndrome"" is different from Asperger's or other Autism spectrum disorders. How she goes on and on about herself and her credentials is tiresome."
RWKEMZAPMSF4F,canf,Nonfiction,40814198,157392945X,"What the Koran Really Says: Language, Text, and Commentary",5,Old News Is Not Old Enough,2004-09-21,"Some reviews point to ""dated"" essays in this book.  Consider that radical Islam has been waging war on the West in one form or another since at least the 18th century. ""Dated"" isn't the word.  ""Startingly relevant despite their vintage"" is more applicable."
